Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
"There is no specific antidote for spironolactone overdose. Treatment may include inducing emesis or emptying the stomach by gastric lavage. Treatment of spironolactone overdose is supportive, aimed at maintaining hydration, electrolyte balance, and vital functions. Spironolactone should be discontinued in individuals with impaired renal function or hyperkalemia.",Spironolactone,"Kidney, stomach",Hyperkalemia,,Potassium-sparing diuretics,
"Spironolactone often increases serum potassium levels and can cause hyperkalemia, a very serious condition. Therefore, it is recommended that people using this medication avoid potassium supplements and potassium-containing salt substitutes. Physicians should be careful to monitor potassium levels in both men and women who are taking spironolactone as a diuretic, especially during the first twelve months of use and whenever the dose is increased. Physicians may also recommend that some patients be advised to limit their dietary intake of potassium-rich foods.",Spironolactone,Kidney,Hyperkalemia,,"Potassium-sparing diuretic, androgen antagonist",Diuretic
"The pharmacodynamics of spironolactone are characterized by high antimineralocorticoid activity, moderate antiandrogenic activity, and weak steroidogenesis inhibition, among other more minor activities. Spironolactone is a prodrug, so most of its actions are actually mediated by its various active metabolites.",Spironolactone," Kidney, liver","High blood pressure, heart failure","Mineralocorticoids, androgens","Potassium-sparing diuretic, androgen antagonist",Prodrug
"Spironolactone is a potent antimineralocorticoid. That is, it is an antagonist of the mineralocorticoid receptor (MR), the biological target of mineralocorticoids such as aldosterone and 11-deoxycorticosterone.",Spironolactone,,,Aldosterone," Mineralocorticoid antagonist, potassium-sparing diuretic",Receptor
"The antimineralocorticoid activity of spironolactone is responsible for its therapeutic efficacy in the treatment of edema, hypertension, heart failure, hyperaldosteronism, and ascites due to cirrhosis. It is also responsible for many of the side effects of spironolactone, such as urinary frequency, dehydration, hyponatremia, low blood pressure, fatigue, dizziness, metabolic acidosis, decreased kidney function, and its risk of developing hyperkalemia. Due to the antimineralocorticoid activity of spironolactone, aldosterone levels are significantly increased by the drug, likely reflecting the body's efforts to maintain homeostasis.",Spironolactone,"Kidney, heart, liver"," High blood pressure, heart failure, hyperaldosteronism, cirrhosis, metabolic acidosis",Aldosterone,"Potassium-sparing diuretic, androgen antagonist","Antimineralocorticoids, side effects"
" Spironolactone is a moderate antiandrogen. That is, it is an antagonist of the androgen receptor (AR), the biological target of androgens such as testosterone and dihydrotestosterone (DHT).",Spironolactone,,,"Testosterone, dihydrotestosterone","Potassium-sparing diuretic, androgen antagonist",Androgen receptor
"Spironolactone has been studied at high doses in the treatment of benign prostatic hyperplasia (BPH; enlarged prostate). It was found to be better than placebo in terms of symptom relief after three months of treatment. However, this was not maintained after six months of treatment, with the improvements largely disappearing. Furthermore, no difference was observed between spironolactone and placebo in terms of residual urine volume or prostate size.",Spironolactone,Prostate,Benign prostatic hyperplasia,,"Potassium-sparing diuretic, androgen antagonist",
"Spironolactone has been studied in the treatment of rosacea in both men and women. Spironolactone has been studied in fibromyalgia in women. It has also been studied in bulimia nervosa in women, but it was not found to be effective.",Spironolactone,,"Rosacea, fibromyalgia, bulimia nervosa",,Potassium-sparing diuretics,Rosacea
"Insulin is the main hormone of the pancreas, a type of polypeptide, that regulates the entry of glucose from the blood into the cells. Insulin is secreted by the insulin-secreting cells of the pancreas (beta cells of the islets of Langerhans). Insulin is mainly used in diabetes mellitus. Insulin is a very ancient protein that was invented several billion years ago.",Insulin,Pancreas,Diabetes mellitus,Insulin,Peptide hormones,Polypeptide
Regulation of carbohydrate metabolism: The hormone insulin helps in the synthesis of glycogen from glucose in the liver and muscles.,Insulin,"Liver, muscle",,Insulin,Peptide hormones,
" When insulin is secreted less, the amount of glucose in the blood increases. Then glucose comes out in the urine. This condition is called diabetes.",Insulin,Kidney,Diabetes,Insulin,Hypoglycemic agents,Disease
"Insulin is a protein-like hormone. When taken orally, it is broken down during digestion, like other proteins. As a result, it cannot reach the bloodstream properly. Therefore, it cannot be taken as a tablet or capsule. Insulin must be given by injection to ensure that it reaches the bloodstream properly.",Insulin,Face,Diabetes,Insulin,Antidiabetic agents,
"The most common side effect of insulin is hypoglycemia. When the amount of glucose or sugar in the blood drops below the minimum normal level, it is called hypoglycemia. Many people know it as 'hypo' for short. Hypoglycemia mainly occurs in diabetic patients who have to take insulin.",Insulin,Pancreas,Diabetes,Insulin,Antidiabetic agents,Side effects
"Taking more insulin than needed can lead to an insulin overdose. The consequences of an insulin overdose can be fatal. In this case, blood sugar can drop dangerously low, leading to severe hypoglycemia. If the condition worsens, the patient may behave incoherently. In addition, seizures can occur—and the patient may even die.",Insulin,Brain,Hypoglycemia,Insulin,Antidiabetic agents,Overdose
"Always seek the advice of a healthcare provider when interpreting insulin test results and do not self-diagnose. Typically, insulin and glucose tests are done together and interpreted accordingly. Typically, high levels of insulin can indicate type 2 diabetes mellitus, hypoglycemia (low blood sugar), insulin resistance, Cushing's syndrome, and pancreatic tumors. Low levels of insulin can be associated with type 1 diabetes mellitus, hyperglycemia (high blood sugar), and pancreatitis.",Insulin,Pancreas,"Type 1 diabetes, type 2 diabetes, hypoglycemia, hyperglycemia, Cushing's syndrome, pancreatic tumors, pancreatitis",Insulin,Peptide hormones,Diabetes
Oxytocin is a peptide hormone and neuropeptide normally produced in the hypothalamus and released by the posterior pituitary.,Oxytocin,"Hypothalamus, posterior pituitary",,Oxytocin,Peptide hormones,Peptide hormones
"Present in animals since early stages of evolution, in humans it plays a role in behaviors including social bonding, love, reproduction, childbirth, and the postpartum period. Oxytocin is released into the bloodstream in response to sexual activity and as a hormone during childbirth. It is also available in pharmaceutical form.",Oxytocin,"Brain, uterus, breasts",,Oxytocin,Hormones,Pharmaceutical
"Oxytocin stimulates uterine contractions to speed up the process of childbirth. In its natural form, it also plays a role in maternal bonding and milk production.",Oxytocin,"Uterus, breasts",,Oxytocin,,Oxytocin
"The production and release of oxytocin is regulated by a positive feedback mechanism, in which its initial release stimulates the production and release of further oxytocin.",Oxytocin,Pituitary gland,,Oxytocin,,Positive feedback
"When oxytocin is released during uterine contractions at the beginning of labor, it stimulates the production and release of more oxytocin and increases the intensity and frequency of contractions. This process compounds in intensity and frequency and continues until the triggering activity ceases. A similar process takes place during breastfeeding and during sexual activity.",Oxytocin,"Uterus, breasts",,Oxytocin,,
Oxytocin is obtained by enzymatic cleavage from the peptide precursor encoded by the human OXT gene.,Oxytocin,Brain,,Oxytocin,Peptide hormones,Enzymatic cleavage
"By 1920, oxytocin and vasopressin had been isolated from pituitary tissue and given their current names. The molecular structure of oxytocin was determined in 1952. In the early 1950s, American biochemist Vincent du Vigneaud found that oxytocin was made up of nine amino acids, and he identified its amino acid sequence, the first polypeptide hormone to be sequenced. In 1953, du Vigneaud synthesized oxytocin, the first polypeptide hormone to be synthesized. Du Vigneaud was awarded the Nobel Prize in 1955 for his work.",Oxytocin,Pituitary gland,,"Oxytocin, vasopressin",Peptide hormones,Hormones
"Further work on various synthetic routes for oxytocin, as well as work on the production of analogs of the hormone (such as 4-demido-oxytocin) was performed by Iphigenia Fotaki in the following decade.","Oxytocin, 4-demido-oxytocin",Hypothalamus and pituitary gland,Hypersecretory disease,Oxytocin,Peptide hormones,Hormones
"Estrogen has been found to increase the release of oxytocin and to increase the expression of its receptor, the oxytocin receptor, in the brain. In women, a single dose of estradiol has been shown to be sufficient to increase circulating oxytocin concentrations.",Estradiol,Brain,,"Estrogen, oxytocin",Endocrine drugs,Dosage
Oxytocin and vasopressin are the only known hormones secreted by the human posterior pituitary gland that act at a distance.,"Oxytocin, vasopressin",Posterior pituitary gland,,"Oxytocin, vasopressin",,Hormones
The oxytocin peptide is synthesized from the OXT gene as an inactive precursor protein. This precursor protein also includes the oxytocin carrier protein neurophysin I. The inactive precursor protein is hydrolyzed into progressively smaller fragments (one of which is neurophysin I) by a series of enzymes.,Oxytocin,,,Oxytocin,Peptide hormones,Peptide
"The activity of the PAM enzyme system is dependent on vitamin C (ascorbate), which is an essential vitamin cofactor. Coincidentally, sodium ascorbate itself stimulates the production of oxytocin from ovarian tissue at various concentrations in a dose-dependent manner. Many of the same tissues (e.g. ovary, testis, eye, adrenal, placenta, thymus, pancreas) where PAM (and by default oxytocin) is found are also known to store high concentrations of vitamin C.","Vitamin C (ascorbate), sodium ascorbate, oxytocin","Ovaries, testes, eyes, adrenals, placenta, thymus, pancreas",,Oxytocin,Vitamin cofactor,Ascorbate
"Oxytocin is known to be metabolized by oxytocinase, a leucyl/cysteinyl aminopeptidase. Other oxytocinases are also known to exist. Amastatin, bestatin (ubenimex), leupeptin, and puromycin inhibit the enzymatic degradation of oxytocin, although they also inhibit the degradation of various other peptides, such as vasopressin, met-enkephalin, and oxytocin.","Oxytocin, oxytocinase, leucyl/cysteinyl aminopeptidase, vasopressin, met- enkephalin",Brain and endocrine glands,,"Oxytocin, Vasopressin, Met-Enkephalin",Peptidase inhibitors,Peptide
"In the hypothalamus, oxytocin is produced in magnocellular neurosecretory cells of the supraoptic and paraventricular nuclei, and stored in the axon terminals of the posterior pituitary in Hering's bodies. It is then released into the blood from the posterior lobe (neurohypophysis) of the pituitary gland.",Oxytocin,"Hypothalamus, pituitary gland, neurosecretory cells, Hering's body",,Oxytocin,Hormones,Oxytocin
"There are parallels to the axons (possibly, but not ruled out dendrites) that innervate neurons in the nucleus accumbens, a brain structure where oxytocin receptors are expressed. The endocrine effects of the hormone oxytocin and the cognitive or behavioral effects of the oxytocin neuropeptide are thought to be coordinated through its common expression through these parallels. Oxytocin is also produced by some neurons in the paraventricular nucleus that project to other parts of the brain and the spinal cord. Depending on the species, oxytocin receptor-expressing cells are located in other regions, including the amygdala and the bed nucleus of the stria terminalis.",Oxytocin,Brain,,"Oxytocin, corticotropin-releasing hormone",Neuropeptide hormones,"Receptors, neuropeptides, paraventricular nucleus"
"In the pituitary gland, oxytocin is packaged into large, dense-core vesicles, where it is bound to neurophysin I, as shown in the inset of the figure; neurophysin is a large peptide fragment of the larger precursor protein molecule from which oxytocin is derived by enzymatic cleavage.","Oxytocin, neurophysin",Pituitary gland,,"Oxytocin, neurophysin",,
"The release of oxytocin from neurosecretory nerve endings is controlled by the electrical activity of oxytocin cells in the hypothalamus. These cells generate action potentials that propagate down axons to nerve endings in the pituitary; the endings contain large numbers of oxytocin-containing vesicles, which are released by exocytosis when the nerve terminals are removed.",Oxytocin,"Hypothalamus, pituitary gland",,Oxytocin,Neurohormones,
"The concentration of endogenous oxytocin in the brain has been found to be 1000-fold higher than in peripheral levels. Outside the brain, oxytocin-containing cells have been identified in a variety of tissues, including the corpus luteum and placenta in women; in the interstitial cells of the Leydig cells of the testes in men; and in the retina, adrenal medulla, thymus, and pancreas in both sexes. The discovery of significant amounts of this classical ""neurohypophysial"" hormone outside the central nervous system raises many questions about its potential importance in these diverse tissues.",Oxytocin,"Brain, corpus luteum, placenta, Leydig cells (testes), retina, adrenal medulla, thymus, pancreas",,Oxytocin,Neurohypophysial hormone,
"Some species have been shown to possess the biosynthetic machinery to produce testicular oxytocin de novo in Leydig cells, notably in rats (which can synthesize vitamin C endogenously), and in guinea pigs, which, like humans, require an exogenous source. Their diet contains vitamin C (ascorbate).","Oxytocin, Vitamin C","Testicle, Leydig cells",,Oxytocin,,
"Oxytocin is synthesized by the corpora lutea of various species, including ruminants and primates. Together with estrogen, it induces endometrial synthesis of prostaglandin F2α to cause regression of the corpus luteum.","Oxytocin, estrogen","Corpus luteum, endometrium",,"Oxytocin, estrogen, prostaglandin F2α",Hormonal agents,Regression
"Virtually all vertebrates have an oxytocin-like nonapeptide hormone that supports reproductive function and a vasopressin-like nonapeptide hormone involved in water regulation. The two genes are usually located close to each other on the same chromosome (less than 15,000 bases apart) and are transcribed in opposite directions (however, in fugu, the homologues are more distant and are transcribed in the same direction). The two genes are thought to have resulted from a gene duplication event; the ancestral gene is estimated to be about 500 million years old and is found in Cyclostomata (modern members of the Agnatha).","Oxytocin, vasopressin",Brain,,"Oxytocin, vasopressin",Peptide hormones,Hormones
"Oxytocin has peripheral (hormonal) actions and also has actions in the brain. Its actions are mediated by specific oxytocin receptors. The oxytocin receptor is a G-protein-coupled receptor, OT-R, which requires magnesium and cholesterol and is expressed in myometrial cells. It belongs to the rhodopsin-type (class I) group of G-protein-coupled receptors.",Oxytocin,"Brain, myometrial cells",,Oxytocin,G-protein-coupled receptors,Receptor
"Studies have looked at the role of oxytocin in a variety of behaviors, including orgasm, social recognition, pair bonding, anxiety, group bias, situational lack of honesty, autism, and maternal behavior. Oxytocin is thought to play an important role in social learning.",Oxytocin,Brain,Autism,Oxytocin,,Autism
"Oxytocin can reduce noise in the brain's auditory system, increase the perception of social cues, and support more goal-directed social behavior. It can also enhance reward responses. However, its effects can be influenced by context, such as the presence of familiar or unfamiliar people.",Oxytocin,Brain,Mental illness,Oxytocin,,
"The peripheral actions of oxytocin mainly reflect release from the pituitary gland. The behavioral effects of oxytocin are thought to reflect release from centrally projecting oxytocin neurons, distinct from those that project to or are parallel to the pituitary gland. Oxytocin receptors are expressed by neurons in many parts of the brain and spinal cord, including the amygdala, ventromedial hypothalamus, septum, nucleus accumbens, and brainstem, although the distribution differs markedly between species. In addition, the distribution of these receptors changes during development and has been shown to change after birth in the Manten vole.",Oxytocin,"Pituitary gland, brain",,Oxytocin,,
"Milk ejection reflex/letdown reflex: In lactating (breastfeeding) mothers, oxytocin acts on the mammary glands, causing milk to be let down into the lactiferous ducts, from where it can be released through the nipple. When the baby sucks at the nipple, the spinal nerves relay signals to the hypothalamus. The stimulus causes neurons that produce oxytocin to fire action potentials in occasional bursts; these bursts result in the release of pulses of oxytocin from the neurosecretory nerve terminals of the pituitary gland.",Oxytocin,"Mammary glands, hypothalamus, pituitary gland",,Oxytocin,,Neurosecretory nerves
"Uterine contractions: Important for cervical dilation before birth, oxytocin causes contractions in the second and third stages of labor. Oxytocin release during breastfeeding causes mild but often painful contractions during the first few weeks of lactation. It also helps the uterus to contract at the placental attachment site after birth. However, in knockout mice lacking oxytocin receptors, reproductive behavior and parturition are normal.",Oxytocin,"Uterus, breasts",,Oxytocin,Hormonal agents," Placental attachment, receptors"
"In male rats, oxytocin can induce erection. In several species, including human males, a burst of oxytocin is released during ejaculation; its proposed function is to stimulate contractions of the reproductive tract, aiding in the release of sperm.",Oxytocin,Reproductive tract,,Oxytocin,Hormones,
Human sexual response: Plasma oxytocin levels increase during sexual arousal and orgasm. At least two uncontrolled studies have found increases in plasma oxytocin during orgasm - in both men and women. Plasma oxytocin levels increase during self-stimulated orgasm and remain higher than baseline when measured five minutes after self-stimulation. The authors of one of these studies hypothesized that oxytocin's effects on muscle contractions may facilitate sperm and egg transport.,Oxytocin,,,Oxytocin,,
"In a study measuring serum oxytocin levels in women before and after sexual stimulation, the authors suggested that it plays an important role in sexual arousal. This study found that stimulation of the genital tract increased oxytocin immediately after orgasm.",Oxytocin,Genital tract,,Oxytocin,Hormones,
"The increase in oxytocin during sexual arousal has been confirmed in other mammals in response to nipple/areola, genital, and/or genital tract stimulation.",Oxytocin," Nipples/areola, genitals, genital tract",,Oxytocin,Neurohormones,
"Due to its similarity to vasopressin, it can slightly reduce urine output and can therefore be classified as an antidiuretic. In various species, oxytocin can stimulate sodium excretion from the kidneys (natriuresis), and in humans, high doses can cause low sodium levels (hyponatremia).",Oxytocin,Kidney,Hyponatremia,"Oxytocin, vasopressin",Antidiuretic,"Natriuresis, hyponatremia"
"Cardiac effects: Oxytocin and oxytocin receptors are also found in the hearts of some mice, and the hormone may play a role in embryonic heart development by promoting cardiomyocyte differentiation. However, the absence of oxytocin or its receptors in knockout mice has not been reported to produce cardiac insufficiency.",Oxytocin,Heart,Cardiac insufficiency,Oxytocin,Nonapeptide,Cardiomyocyte
"Modulation of hypothalamic-pituitary-adrenal axis activity: Oxytocin, under certain circumstances, indirectly inhibits the release of adrenocorticotropic hormone and cortisol and, in those circumstances, can be considered an antagonist of vasopressin.","Oxytocin, vasopressin","Hypothalamus, pituitary gland, adrenal glands",,"Oxytocin, vasopressin, adrenocorticotropic hormone, cortisol",Peptide hormones,
"Preparing fetal neurons for delivery (in rats): Crossing the placenta, maternal oxytocin reaches the fetal brain and induces a switch in the action of neurotransmitters from excitatory to inhibitory in fetal cortical neurons. This silences the fetal brain for the duration of delivery and reduces its vulnerability to hypoxic damage.",Oxytocin,"Placenta, fetal brain, cortical neurons",Hypoxic damage,Oxytocin,"Peptide hormones, neurotransmitters",Neurotransmitters
" 2012 paper suggested that oxytocin neurons in the paraventricular hypothalamus of the brain may play an important role in suppressing appetite under normal conditions, and that other hypothalamic neurons may trigger eating through inhibition of these oxytocin neurons.",Oxytocin,Brain (para-ventricular hypothalamus),Appetite suppression problems,Oxytocin,Peptide hormones,Hypothalamus
"This population of oxytocin neurons is absent in Prader-Willi syndrome, a genetic disorder that leads to uncontrolled feeding and obesity, and may play an important role in its pathophysiology.",Oxytocin,Brain (neurons),Prader-Willi syndrome,Oxytocin,Peptide hormones,Pathophysiology
"Studies on the oxytocin-related neuropeptide asterotocin in starfish also showed that in echinoderms the chemical relaxes muscles, and in starfish specifically the organisms turn their stomachs over and react as if they were feeding on prey, even when no one was present.",Asterotoxin,"Muscles, stomach",,Asterotoxin,Neuropeptide,Oxytocin
"Oxytocin has been implicated in the etiology of autism, with one report suggesting that autism is related to mutations in the oxytocin receptor gene (OXTR).",Oxytocin,Brain,Autism,Oxytocin,Peptide hormones,Oxytocin receptor gene
"Protection of brain function: Studies in rats have shown that intranasal administration of oxytocin can reduce learning impairments caused by restraint stress. The authors attribute this effect to an enhanced hippocampal response to brain-derived neurotrophic factor (BDNF). Accordingly, oxytocin has been shown to promote neuronal growth in the hippocampus of rats, even during swimming stress or glucocorticoid administration.",Oxytocin,Hippocampus,Stress-induced learning disability,"Oxytocin, glucocorticoids",Neurotrophic factor,Activities
"In a mouse model of early-onset Alzheimer's, administration of oxytocin via a gel specifically designed to make the peptide accessible to the brain delayed cognitive decline and hippocampal atrophy in these mice. Furthermore, amyloid β-protein deposition and neuronal cell apoptosis were inhibited. An observed inhibitory effect of oxytocin on the inflammatory activity of microglia was proposed as an important factor.",Oxytocin,"Brain, nerve cells",Alzheimer's,Oxytocin,Nonapeptide hormone,Microglia inflammation
"In prairie voles, oxytocin is released in the female's brain during sexual activity, which is important for forming a pair bond with her sexual partner.",Oxytocin,Brain,,Oxytocin,Peptide hormones,
"Oxytocin plays a role in social behavior in many species, so it likely does in humans as well. In a 2003 study, blood levels of oxytocin in both humans and dogs increased after five to 24 minutes of petting. It likely plays a role in the emotional bond between humans and dogs.",Oxytocin,Brain,Mental illness,Oxytocin,Peptide hormones,
"Maternal behavior: Female rats given an oxytocin antagonist after giving birth do not display normal maternal behavior. In contrast, virgin female sheep show maternal behavior toward foreign lambs upon cerebrospinal fluid infusion of oxytocin, which they would not otherwise do. [Oxytocin is involved in the initiation of human maternal behavior, not its maintenance; for example, it is greater in mothers when they interact with unfamiliar infants than with their own.",Oxytocin,Brain,Mental problems,Oxytocin,Neuropeptide Hormone,Infusion
" Human ingroup bonding: Oxytocin can increase positive attitudes, such as bonding, towards individuals classified as “in-group” members, whereas other individuals are classified as “out-group” members.",Oxytocin,Brain,,Oxytocin,Peptide hormones,
Reduced oxytocin and receptor expression are associated with aggressive behavior in aggressive-impulsive disorder,Oxytocin,Brain,Aggressive-impulsive disorder,Oxytocin,Peptide hormones,Receptor
"Drug interactions: According to several studies in animals, oxytocin prevents the development of tolerance to various addictive drugs (opiates, cocaine, alcohol) and reduces withdrawal symptoms. Ecstasy may increase feelings of love, empathy, and connection with others by stimulating oxytocin activity primarily through activation of serotonin 5-HT1A receptors, if the initial studies in animals are applicable to humans. [Anxiolytic drugs may produce some of their effects through receptor-induced oxytocin stimulation.",Oxytocin,Brain,"Addiction, anxiety"," Oxytocin, serotonin",Serotonin receptor agonist,Receptor
"Vulnerability to addiction: Endogenous oxytocin concentrations can influence the effects of various drugs and may influence an individual's susceptibility to substance use disorders, with higher concentrations associated with reduced susceptibility. The status of the endogenous oxytocin system can increase or decrease susceptibility to addiction through bidirectional interactions with numerous systems, including the dopamine system, the hypothalamic-pituitary-adrenal axis, and the immune system. Individual differences in the endogenous oxytocin system based on genetic predisposition, gender, and environmental influences may therefore influence vulnerability to addiction. Oxytocin may be related to the place conditioning behaviors observed in habitual drug users.",Oxytocin,"Brain (hypothalamus, pituitary gland), adrenal glands","Addiction, substance use disorder","Oxytocin, dopamine","Peptide hormones, catecholamines",
"Oxytocin produces antidepressant-like effects in animal models of depression, and its deficiency may be involved in the pathophysiology of depression in humans.",Oxytocin,Brain,Depression,Oxytocin,Antidepressant,Pathophysiology
"The antidepressant-like effects of oxytocin are not blocked by a selective antagonist of the oxytocin receptor, suggesting that these effects are not mediated by the oxytocin receptor. In contrast to oxytocin, the selective non-peptide oxytocin receptor agonist WAY-267,464 does not produce antidepressant-like effects, at least in the tail suspension test. In contrast to WAY-267,464, carbetocin, a close analog of oxytocin and a peptide oxytocin receptor agonist, produces significantly antidepressant-like effects in animals. As such, the antidepressant-like effects of oxytocin may be mediated through modulation of a different target, possibly the vasopressin V 1A receptor to which oxytocin is known to bind weakly as an agonist.",Oxytocin,Brain,Depression,"Oxytocin, vasopressin",Peptide hormones,"Antidepressant, Receptor, Agonist, Vasopressin, Modulation"
" Oxytocin mediates the antidepressant-like effects of sexual activity. A drug for sexual dysfunction, sildenafil increases the release of oxytocin, which is electrically evoked from the pituitary gland. According to , it may have promise as an antidepressant.","Oxytocin, sildenafil",Pituitary gland,"Sexual dysfunction, depression",Oxytocin,"Peptide hormone, phosphodiesterase type 5 inhibitor",Medicine
"Oxytocin affects men and women differently. Women who receive oxytocin are overall faster at responding to socially relevant stimuli than men who receive oxytocin. In addition, after oxytocin administration, women show increased amygdala activity in response to threatening scenes; however, men do not show increased amygdala activity. This phenomenon can be explained by the role of gonadal hormones, particularly estrogen, which modulate the enhanced threat processing seen in women. Estrogen has been shown to stimulate oxytocin release from the hypothalamus and promote receptor binding in the amygdala.","Oxytocin, estrogen","Hypothalamus, amygdala",Mental and physical problems,"Oxytocin, estrogen","Peptide, steroid hormone",Gonadal hormones
"Influencing generosity by increasing empathy during perspective-taking: In a neuroeconomics experiment, intranasal oxytocin increased generosity by 80% in the ultimatum game, but had no effect in the dictator game, which measures altruism. Perspective-taking is not required in the dictator game, but in this experiment, researchers explicitly induced perspective-taking in the ultimatum game without identifying which role participants would be placed in.",Oxytocin,Brain,,Oxytocin,Peptide hormones,Neuroeconomics
Regarding the role of oxytocin in trust and generosity. Sympathy in healthy men increased after intranasal oxytocin. This is likely due to oxytocin's effect on increasing eye gaze.,Oxytocin,Eyes,,Oxytocin,Peptide hormones,
"Trust is enhanced by oxytocin. Studies have shown that with oxytocin nasal spray, people are more likely to trust strangers when it comes to managing their finances. Sharing emotional events is a sign of trust in people.",Oxytocin,Nose,,Oxytocin,Peptide hormones,Nasal spray
"When describing a negative event, people who received intranasal oxytocin shared more emotional details and stories with more emotional significance. People also found faces more trustworthy after receiving intranasal oxytocin. In one study, participants who received intranasal oxytocin viewed pictures of people’s faces with neutral expressions and rated them as more trustworthy than those who did not receive oxytocin. This may be because oxytocin reduces people’s fear of social betrayal.",Oxytocin,Brain,Mental illness,Oxytocin,Peptide hormones,Intranasal application
"Romantic attachment: In some studies, higher levels of plasma oxytocin have been linked to romantic attachment. For example, if a couple has been apart for a long time, anxiety may increase due to a lack of physical affection. Oxytocin may help romantically attached couples by increasing feelings of anxiety during separation.",Oxytocin,Brain,Mental illness(anxiety),Oxytocin,Peptide hormones,Plasma
"Social behavior and wound healing: Oxytocin is also thought to modulate inflammation by reducing certain cytokines. Thus, increased release of oxytocin following positive social interactions has the potential to improve wound healing.",Oxytocin,,Inflammation,Oxytocin,Neurohormones,
"Oxytocin induces feelings of contentment, reduced anxiety, and feelings of calm and security when being with a partner. This suggests that oxytocin may be important for behavioral control, inhibition of brain regions associated with fear and anxiety, thus allowing orgasm to occur. Research has also shown that oxytocin can reduce anxiety and protect against stress, especially with social support.",Oxytocin,Brain,"Anxiety, stress",Oxytocin,Peptide hormones,
"Lack of social skills and appropriate emotional behavior, common symptoms of autism, may become a new symptom of low oxytocin levels for individuals who fall within the autism spectrum.",Oxytocin,Brain,Autism Spectrum Disorder,Oxytocin,Peptide hormones,Mental behavior
Peptic ulcer disease: Esomeprazole is particularly effective in combination with other medications for treating and preventing recurrence of stomach ulcers caused by Helicobacter pylori (H. pylori) in adults.,Esomeprazole,Stomach,"Peptic ulcer disease, stomach ulcer",,,Helicobacter pylori (H. pylori)
"When you are feeling any kind of pain in your body, you must take paracetamol. If you have fever, this medicine can also be used to reduce the temperature. Do not take medicine unnecessarily. If you have some severe pain in your body which is unbearable, it is better to consult a doctor first.",Paracetamol,,"Pain, fever",,,"Medicine, doctor"
"Seclo is a substituted benzimidazole drug that acts as an inhibitor of gastric acid secretion. It inhibits gastric acid secretion by inhibiting the hydrogen-potassium-adenosine triphosphatase enzyme system (H+/K+ ATPase) of gastric parietal cells. After oral administration, the anti-acid secretion activity of Seclo begins within 1 hour, reaches a maximum level in 2 hours and persists for 72 hours. When its consumption is stopped, the acid secretion process returns to its previous state within 3-5 days.",Century,Face,Gastric,Hydrogen-potassium-adenosine triphosphatase enzyme,Benzimidazole,
Paracetamol is a pain reliever as well as an antipyretic (which reduces body temperature). It can also be taken with other medicines. Paracetamol works by inhibiting the production of inflammatory mediators such as prostaglandins that cause pain and inflammation.,Paracetamol,,Pain,Prostaglandins,Antipyretic,Medicine
Corticosteroids make breathing easier and reduce the amount of mucus produced in the lungs.,Corticosteroids,Lungs,Shortness of breath,,Corticosteroids,Mucus
"Anabolic steroids have effects similar to the male hormone testosterone and are used illegally by some athletes to increase muscle mass, strength, and endurance. Corticosteroids do not have these effects.",Anabolic steroids,,,Testosterone,Steroids,"Muscle mass, strength"
"Anabolic steroids, also known as anabolic-androgenic steroids, are a class of drugs that are structurally related to testosterone, the main male sex hormone, and produce effects by binding to the androgen receptor.",Anabolic steroids,,,Testosterone,Steroids,Androgen receptor
"Anabolic steroids have many medical uses, but are also used by athletes to increase muscle size, strength, and performance.",Anabolic steroids,,,,Steroids,Athlete
"Long-term use of excessive doses may pose health risks. These effects include harmful changes in cholesterol levels (increased low-density lipoprotein and decreased high-density lipoprotein), acne, high blood pressure, liver damage, and left ventricular hypertrophy.",Anabolic-androgenic steroids,"Liver, left ventricle","Cholesterol related problems, high blood pressure, liver damage, left ventricular hypertrophy",,Steroids,
The effects of anabolic steroids on the heart can lead to myocardial infarction and stroke. Hormonal imbalances such as gynecomastia and reduced testicular size can also be caused by conditions related to the use of anabolic steroids.,Anabolic-androgenic steroids,"Heart, testicles","Myocardial infarction, stroke, gynecomastia, testicular size reduction",,,"Gynecomastia, decreased testicular size"
"The use of ergogenic aids as performance-enhancing drugs in sports, racing, and bodybuilding is controversial due to their potential for adverse effects and the potential for physical competition. Their use is referred to as doping and is banned by most major sporting organizations.",Ergogenic,,,,,"Doping, physical competition, sports organizations"
"AAS that are commonly used in medicine are testosterone and its many esters (but most commonly testosterone undecanoate, testosterone enanthate, testosterone cypionate, and testosterone propionate), nandrolone esters (most commonly nandrolone ester and nandrolone propionate), stanozolol, and methandienone (methandrostenolone).","Testosterone, Testosterone Undecanoate, Testosterone Enanthate, Testosterone Cypionate, Testosterone Propionate, Nandrolone Esters, Nandrolone Propionate, Stanozolol, Methandienone, Methandrostenolone",,,"Testosterone, Nandrolone",Steroids,Esther
"Others that are available and commonly used but in lesser amounts are methyltestosterone, oxandrolone, mesterolone, and oxymetholone, as well as drostanolone propionate (dromostanolone propionate), methenolone (methylandrostenolone), and methyltestosterone (actenolone).","Methyltestosterone, Oxandrolone, Mesterolone, Oxymetholone, Drostanolone propionate, Metenolone, Methylandrostenolone, Methyltestosterone, Actenolone",,,Testosterone,Steroids,Esther
